Datei,Zeilen,Status
android/gradlew,244,REAL
android/gradlew.bat,92,REAL
android/settings.gradle,4,REAL
android/variables.gradle,20,REAL
build-apk.sh,83,REAL
build-release.sh,51,REAL
build.sh,54,REAL
capacitor.config.json,23,REAL
config/enterprise-nodes.csv,6,REAL
deploy/.env.example,43,REAL
deploy/monitoring/alertmanager/alertmanager.yml,21,REAL
deploy/monitoring/docker-compose.monitoring.yml,81,REAL
deploy/monitoring/grafana/dashboards/nexus-overview.json,373,REAL
deploy/monitoring/grafana/provisioning/dashboards/dashboards.yml,9,REAL
deploy/monitoring/grafana/provisioning/datasources/datasources.yml,12,REAL
deploy/monitoring/loki/loki-config.yml,35,REAL
deploy/monitoring/prometheus/alert-rules.yml,61,REAL
deploy/monitoring/prometheus/prometheus.yml,43,FIXME
deploy/monitoring/promtail/promtail-config.yml,57,FIXME
desktop/README.md,173,FIXME
desktop/data/agent_gallery.json,365,REAL
desktop/data/scripts/backup_config.sh,15,REAL
desktop/data/scripts/network_scan.py,48,REAL
desktop/data/skillz.md,166,REAL
desktop/data/skillz_adb.md,44,REAL
desktop/data/system_instruction_adb.txt,85,REAL
desktop/data/system_instruction_chat.txt,68,REAL
desktop/main.py,225,REAL
desktop/requirements.txt,13,REAL
desktop/tests/test_core.py,484,REAL
desktop/tools/download_model.py,95,REAL
desktop/utils/agent.py,1361,REAL
desktop/utils/agentGallery.py,435,REAL
desktop/utils/api_client.py,132,MOCK
desktop/utils/clients.py,368,REAL
desktop/utils/config.py,54,REAL
desktop/utils/model_backend.py,226,STUB
desktop/utils/page_ingest.py,459,REAL
desktop/utils/script_executor.py,129,REAL
desktop/utils/skill_loader.py,124,REAL
desktop/utils/status_manager.py,177,REAL
desktop/utils/ws_client.py,70,REAL
desktop/views/__init__.py,1,REAL
desktop/views/chat.py,284,REAL
desktop/views/dashboard.py,67,REAL
desktop/views/scripts.py,165,REAL
desktop/views/settings.py,231,REAL
desktop/views/status_panel.py,92,REAL
docs/agent-gallery.md,114,REAL
docs/api-websockets.md,109,FIXME
docs/device-control.md,270,REAL
docs/enterprise-node-database.md,222,REAL
docs/hardware-setup.md,192,REAL
docs/i18n.md,74,REAL
docs/mcp-integration.md,176,REAL
docs/mobile-ble-gateway.md,273,REAL
docs/monitoring.md,180,REAL
docs/openapi.yaml,529,FIXME
docs/portview-import.md,355,REAL
docs/production-backend.md,149,REAL
genesis-orchestrator/.env.example,20,REAL
